word,spelling_label
-,incorrect
--,incorrect
---------------हेलो,incorrect
-10000,incorrect
-600,incorrect
-अ,correct
-अगर,correct
-अच्छ,correct
-अच्छा,correct
-अच्छे,correct
-अच्छों,incorrect
-अठारह,correct
-अपना,correct
-अपनी,correct
-अपने,correct
-अब,correct
-अभी,correct
-अरे,correct
-अलग,correct
-अहा,correct
-अह्ह,correct
-आ,correct
-आईडी,correct
-आएगा,correct
-आगे,correct
-आधे,correct
-आप,correct
-आपकी,correct
-आपके,correct
-आपको,correct
-आपस,correct
-आर,correct
-आश्रिवाद,correct
-आसनी,correct
-आह,correct
-इंदी,correct
-इस,correct
-इसमें,incorrect
-इसलिए,correct
-उधर,correct
-उम्म,correct
-उसके,correct
-ए,correct
-एक,correct
-एल,correct
-ऐता-,correct
-ऐस-टी,correct
-ऐसा,correct
-ऐसी,correct
-ऐसे,correct
-ओ,correct
-ओके,correct
-और,correct
-कई,correct
-कचरा,correct
-कभार,correct
-कभी,correct
-कर,correct
-करते,correct
-करा,correct
-कहाँ,correct
-कही,correct
-कहीं,incorrect
-का,correct
-काम,correct
-किसी,correct
-कुछ,correct
-केरल,correct
-कैनवा,correct
-कैसे,correct
-को,correct
-कोई,correct
-कौन,correct
-क्या,correct
-खेला,correct
-गरम,correct
-गो,correct
-ग्यारह,correct
-घूमने,correct
-च,correct
-चलाते,correct
-चाचा,correct
-चार,correct
-चीज,correct
-छ,correct
-छः,correct
-छोटी,correct
-छोटे,correct
-छोला,correct
-जब,correct
-जरूर,correct
-ज़्यादा,correct
-जाता,correct
-जिंदगी,incorrect
-जितने,correct
-जिम,correct
-जिस,correct
-जिसका,correct
-जिसके,correct
-जी,correct
-जुलना,correct
-जैसे,correct
-जो,correct
-टू,correct
-टॉन्ट,correct
-ट्रेन,correct
-ट्वेल्थ,correct
-ड,correct
-डिपेंड,incorrect
-डिसिप्लिन्ड,correct
-डेव,correct
-तय,correct
-तरह,correct
-तिनसों,incorrect
-तीन,correct
-तो,correct
-थोअ,correct
-थोड़ा,correct
-दस,correct
-दस-दस,correct
-दूर,correct
-देख-,correct
-देखते,correct
-देखी,correct
-देखेंगे,incorrect
-दो,correct
-दो-ये,correct
-धनतेरस,correct
-धन्यवाद,correct
-धीरे,correct
-नई,correct
-नए,correct
-नया,correct
-नयी,correct
-नहाने,correct
-नहीं,incorrect
-नानी,correct
-निबंध,correct
-नेटिव,correct
-नौ,correct
-न्यू,correct
-प,correct
-पंद्रह,correct
-पढ़ाई,correct
-पतंग,correct
-पहल-पहला,correct
-पहा-,correct
-पाँच,correct
-पांच,incorrect
-पानी,correct
-पापा,correct
-पिता,correct
-पीने,correct
-पुताई,correct
-पुस्तक,correct
-पूरा,correct
-पूर्ण,correct
-पैन,correct
-प्रतिभोज,correct
-पढ़,correct
-फिर,correct
-फिरे,correct
-फूट,correct
-फोड़,correct
-बचपन,correct
-बच्चों,incorrect
-बडे़,correct
-बढ़िया,correct
-बढ़े,correct
-बना-,correct
-बनाते,correct
-बनारस,correct
-बहुत,correct
-बाकी,correct
-बाप,correct
-बार,correct
-बारह,correct
-बारीकी,correct
-बाहर,correct
-बिल्कुल,correct
-बीच,correct
-बैठ,correct
-बो,correct
-भ-,correct
-भरोसा,correct
-भीड़,correct
-मजाक,correct
-मतलब,correct
-मनोरंजन,correct
-महाराष्ट्र,correct
-मातृभाषा,correct
-मार,correct
-मिट्टी,correct
-मीठा,correct
-मुझे,correct
-में,incorrect
-मेंटली,incorrect
-मेडिकल,correct
-मैं,incorrect
-मैंने,incorrect
-मैदान,correct
-मैन-,correct
-मैम,correct
-मोटा,correct
-मोटी,correct
-मज़ाक,correct
-य,correct
-यस,correct
-यह,correct
-यहाँ,correct
-या,correct
-यात्रा,correct
-ये,correct
-र,correct
-रखाव,correct
-रस्म,correct
-रस्मों,incorrect
-रात,correct
-रामपु-र,correct
-रिवाज,correct
-रुझा,correct
-रोकना,correct
-रोजमर्रा,correct
-लंगर,correct
-लास्ट,correct
-लेकिन,correct
-लेना,correct
-लोग,correct
-लोगों,incorrect
-वढ़ाई,correct
-वन,correct
-वहल,correct
-वांस,incorrect
-वाना,correct
-वानी,correct
-विज्ञान,correct
-विलिंग,incorrect
-वैल्यू,correct
-वैसा,correct
-वो,correct
-वोटो,correct
-व्रेश,correct
-शुरू,correct
-सब,correct
-सबको,correct
-सबसे,correct
-सभी,correct
-सरस्वती,correct
-सव,correct
-सस्ती,correct
-साठ,correct
-साथ,correct
-सारे,correct
-सीख,correct
-सीखता,correct
-सीखने,correct
-सुबह,correct
-से,correct
-सोचा,correct
-सोलु-,correct
-सौंधापन,incorrect
-स्टार्टिंग,incorrect
-स्पेसीफिक,correct
-ह,correct
-हम,correct
-हमारा,correct
-हम्म,correct
-हर,correct
-हा,correct
