word,predicted_label,confidence,reason,category,category_explanation,in_domain_frequency,in_domain_lexicon_hit,fleurs_lexicon_hit,reference_lexicon_hit,nearest_reference_word,nearest_similarity_score,suspicious_pattern_flags,manual_label
-अ,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-अगर,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-अच्छ,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-अच्छा,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-अच्छे,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-अठारह,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
-अपना,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-अपनी,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,correct
-अपने,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,correct
-अब,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,correct
-अभी,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,correct
-अरे,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,correct
-अलग,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-अहा,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,
-अह्ह,correct,low,"May be valid rare/proper noun, but evidence is weak.",rare_or_name_ambiguous,Rare word with weak evidence; may be valid proper noun or may be misspelling.,0,0,0,0,,,,incorrect
